RUN_UUID,CLASS_NAME,FEEDBACK_TYPE,NUMBER,INPUT_TOKEN_COUNT,OUTPUT_TOKEN_COUNT
019c6487-59dc-740c-8f88-82ff82096021,com.fasterxml.jackson.core.json.JsonWriteContext,MUTATION,1,12463,9095
019c6487-59dc-740c-8f88-82ff82096021,com.fasterxml.jackson.core.json.JsonWriteContext,MUTATION,2,6386,5724
019c6487-59dc-740c-8f88-82ff82096021,com.fasterxml.jackson.core.json.JsonWriteContext,MUTATION,3,11774,7267
019c6487-59dc-740c-8f88-82ff82096021,com.fasterxml.jackson.core.json.JsonWriteContext,MUTATION,4,20143,18581
019c6491-409b-7ac1-ae04-2303067447c6,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,1,9345,3070
019c6491-409b-7ac1-ae04-2303067447c6,com.fasterxml.jackson.core.util.TextBuffer,INITIAL,0,18266,3136
019c6491-409b-7ac1-ae04-2303067447c6,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,1,18898,1836
019c6491-409b-7ac1-ae04-2303067447c6,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,2,19077,2028
019c6491-409b-7ac1-ae04-2303067447c6,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,3,28030,6475
019c6491-409b-7ac1-ae04-2303067447c6,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,4,18607,2843
019c6491-409b-7ac1-ae04-2303067447c6,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,5,18732,3226
019c6491-409b-7ac1-ae04-2303067447c6,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,6,18827,3730
019c6491-409b-7ac1-ae04-2303067447c6,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,7,18788,3118
019c6491-409b-7ac1-ae04-2303067447c6,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,8,18788,3160
019c6491-409b-7ac1-ae04-2303067447c6,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,9,18788,3575
019c6491-409b-7ac1-ae04-2303067447c6,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,10,18990,3609
019c64a2-b723-7999-b859-f8c490a04cae,com.fasterxml.jackson.core.json.JsonGeneratorImpl,COVERAGE,1,14319,14012
019c64a2-b723-7999-b859-f8c490a04cae,com.fasterxml.jackson.core.json.JsonGeneratorImpl,INITIAL,0,3390,3471
019c64a2-b723-7999-b859-f8c490a04cae,com.fasterxml.jackson.core.json.JsonGeneratorImpl,MUTATION,1,4975,2362
019c64a2-b723-7999-b859-f8c490a04cae,com.fasterxml.jackson.core.json.JsonGeneratorImpl,MUTATION,2,6093,2764
019c64a2-b723-7999-b859-f8c490a04cae,com.fasterxml.jackson.core.json.JsonGeneratorImpl,MUTATION,3,2720,1680
019c64a2-b723-7999-b859-f8c490a04cae,com.fasterxml.jackson.core.json.JsonGeneratorImpl,MUTATION,4,2845,1213
019c64a2-b723-7999-b859-f8c490a04cae,com.fasterxml.jackson.core.json.JsonGeneratorImpl,MUTATION,5,2869,1768
019c64a2-b723-7999-b859-f8c490a04cae,com.fasterxml.jackson.core.json.JsonGeneratorImpl,MUTATION,6,9413,8676
019c64aa-86a4-7666-938a-7f4c857522dd,com.fasterxml.jackson.core.io.IOContext,COVERAGE,1,3298,1441
